author_name,news_channel,url
Claire-Bates,The Standard (Kenya),http://standardmedia.co.ke
Claire-Bates,Yahoo Brazil,http://br.yahoo.com
Claire-Bates,Yahoo Finanças,https://br.financas.yahoo.com/
Tom-Jackson,Disrupt Africa,http://disrupt-africa.com
Tom-Jackson,BBC,https://bbc.co.uk/
Tom-Jackson,The New York Times,http://nytimes.com/
Tom-Jackson,Daily Mirror,http://mirror.co.uk/
Tom-Jackson,The Telegraph,https://www.telegraph.co.uk/
Tom-Jackson,The Times,http://thetimes.co.uk/
Tom-Jackson,Fast Company,http://fastcompany.com/
Tom-Jackson,Fortune,http://fortune.com
Tom-Jackson,Quartz,http://qz.com/
Tom-Jackson,Flipboard,http://flipboard.com
Tom-Jackson,The Next Web,http://thenextweb.com/
Sanchia-Berg,BBC,https://bbc.co.uk/
Sanchia-Berg,BBC Mundo,http://www.bbc.com/mundo
Tom-Spender,BBC,https://bbc.co.uk/
Tom-Spender,The Maravi Post,http://maravipost.com
John-Harrison,Sydney Morning Herald,http://smh.com.au
John-Harrison,European Urban and Regional Studies,http://eur.sagepub.com/
John-Harrison,The Age,http://theage.com.au
John-Harrison,Reason,http://reason.com/
John-Harrison,Brisbane Times,http://brisbanetimes.com.au
John-Harrison,Santa Barbara Independent,http://independent.com
Emma-Jane-Kirby,UOL,http://uol.com.br
Emma-Jane-Kirby,BBC,https://bbc.co.uk/
Emma-Jane-Kirby,BBC Mundo,http://www.bbc.com/mundo
Emma-Jane-Kirby,G1,http://g1.globo.com
Emma-Jane-Kirby,Daily Mirror,http://mirror.co.uk/
Emma-Jane-Kirby,The Telegraph,https://www.telegraph.co.uk/
Emma-Jane-Kirby,Color Research & Application,https://onlinelibrary.wiley.com/journal/15206378
Emma-Jane-Kirby,BMJ Open,http://bmjopen.bmj.com/
Emma-Jane-Kirby,Taylor & Francis,https://tandfonline.com/
Emma-Jane-Kirby,Electric Literature,http://electricliterature.com
Liz-Jackson,BBC,https://bbc.co.uk/
Liz-Jackson,BBC News at One,https://bbc.co.uk/programmes/b007mpl9
Liz-Jackson,The New York Times,http://nytimes.com/
Liz-Jackson,HuffPost,https://huffpost.com/
Liz-Jackson,ABC News (Australia),http://abc.net.au/news/
Liz-Jackson,Los Angeles Times,http://latimes.com
Liz-Jackson,Fast Company,http://fastcompany.com/
Liz-Jackson,Quartz,http://qz.com/
Liz-Jackson,Slate,http://slate.com/
Liz-Jackson,South China Morning Post,http://scmp.com
Liz-Jackson,Bored Panda,http://boredpanda.com
Liz-Jackson,Patch,http://patch.com
Jasmine-Taylor-Coleman,BBC,https://bbc.co.uk/
Jasmine-Taylor-Coleman,BBC Mundo,http://www.bbc.com/mundo
Jasmine-Taylor-Coleman,Revista Época,https://oglobo.globo.com/epoca/
Jasmine-Taylor-Coleman,Yahoo Brazil,http://br.yahoo.com
Michelle-Roberts,BBC,https://bbc.co.uk/
Michelle-Roberts,"KOVR-TV (Sacramento, CA)",https://www.cbsnews.com/sacramento/
Michelle-Roberts,MSN,http://msn.com/
Michelle-Roberts,"WBZ-TV (Boston, MA)",https://www.cbsnews.com/boston/
Michelle-Roberts,Color Research & Application,https://onlinelibrary.wiley.com/journal/15206378
Michelle-Roberts,U.S. News & World Report,http://usnews.com
Michelle-Roberts,"KNBC-TV (Los Angeles, CA)",http://nbclosangeles.com/
Michelle-Roberts,"KNTV-TV (San Jose, CA)",http://nbcbayarea.com/
Michelle-Roberts,Journal Sun,https://wickedlocal.com/journalsun/
Michelle-Roberts,"KNSD-TV (San Diego, CA)",http://nbcsandiego.com/
James-Badcock,Brasil Online,https://bol.uol.com.br
James-Badcock,UOL,http://uol.com.br
James-Badcock,BBC,https://bbc.co.uk/
James-Badcock,BBC Mundo,http://www.bbc.com/mundo
James-Badcock,The Guardian,http://theguardian.com/
James-Badcock,Business Insider,https://www.businessinsider.com/
James-Badcock,El País,http://elpais.com
James-Badcock,MSN UK,http://msn.com/en-gb
James-Badcock,Terra,http://terra.com.br
James-Badcock,The Telegraph,https://www.telegraph.co.uk/
Nigel-Pankhurst,BBC,https://bbc.co.uk/
Martin-Tooth,BBC,https://bbc.co.uk/
Emily-Young,HuffPost,https://huffpost.com/
Emily-Young,Perry County Times,http://pennlive.com/perry-county-times/
Emily-Young,Tampa Bay Times,http://tampabay.com/
Emily-Young,The Sacramento Bee,http://sacbee.com
Emily-Young,The Observer (Case Western Reserve),http://observer.case.edu
Emily-Young,The Penny Hoarder,http://thepennyhoarder.com
Emily-Young,Ms. Magazine,http://msmagazine.com
Emily-Young,"Watertown Daily Times (Watertown, NY)",https://nny360.com/
Emily-Young,University of Washington Daily,http://dailyuw.com
Emily-Young,Conway Daily Sun,http://conwaydailysun.com
Gabriel-Gatehouse,BBC,https://bbc.co.uk/
Gabriel-Gatehouse,UOL,http://uol.com.br
Gabriel-Gatehouse,Época Negócios,http://epocanegocios.globo.com
Gabriel-Gatehouse,The Guardian,http://theguardian.com/
Gabriel-Gatehouse,The Sunday Times,https://thetimes.co.uk/?sunday
Gabriel-Gatehouse,Yahoo,https://yahoo.com/
Gabriel-Gatehouse,Voice of America (VOA),http://voanews.com/
Gabriel-Gatehouse,SBS,http://sbs.com.au
Gabriel-Gatehouse,El Imparcial,http://elimparcial.com
